iter	Passed	Remaining
405	6697	6499
406	6712	6481
407	6724	6461
408	6741	6444
409	6755	6425
410	6770	6407
411	6786	6391
412	6802	6374
413	6816	6355
414	6831	6337
415	6846	6320
416	6860	6301
417	6874	6282
418	6888	6263
419	6901	6243
420	6915	6225
421	6929	6207
422	6943	6188
423	6956	6168
424	6969	6149
425	6983	6130
426	6997	6112
427	7013	6095
428	7029	6079
429	7044	6061
430	7062	6046
431	7076	6027
432	7090	6010
433	7105	5992
434	7122	5975
435	7136	5958
436	7151	5940
437	7165	5921
438	7181	5905
439	7195	5887
440	7208	5868
441	7222	5849
442	7237	5832
443	7253	5815
444	7269	5798
445	7287	5784
446	7301	5765
447	7315	5748
448	7329	5729
449	7342	5711
450	7356	5692
451	7370	5674
452	7385	5657
453	7401	5640
454	7418	5624
455	7434	5608
456	7448	5590
457	7462	5572
458	7475	5553
459	7490	5536
460	7502	5516
461	7517	5499
462	7530	5481
463	7548	5466
464	7560	5447
465	7576	5430
466	7589	5411
467	7609	5397
468	7621	5379
469	7636	5361
470	7649	5343
471	7669	5329
472	7686	5313
473	7702	5297
474	7715	5279
475	7727	5259
476	7742	5242
477	7757	5225
478	7771	5207
479	7785	5190
480	7800	5173
481	7813	5155
482	7830	5138
483	7844	5121
484	7859	5104
485	7871	5085
486	7885	5068
487	7897	5049
488	7911	5031
489	7923	5012
490	7939	4996
491	7953	4978
492	7966	4961
493	7980	4943
494	7996	4926
495	8010	4909
496	8025	4892
497	8039	4875
498	8053	4857
499	8069	4841
500	8084	4825
501	8101	4809
502	8116	4792
503	8144	4783
504	8161	4767
505	8176	4750
506	8191	4733
507	8206	4717
508	8220	4699
509	8237	4683
510	8251	4666
511	8265	4649
512	8281	4633
513	8293	4614
514	8306	4596
515	8321	4579
516	8339	4564
517	8356	4549
518	8371	4532
519	8385	4515
520	8397	4497
521	8410	4479
522	8424	4461
523	8438	4444
524	8455	4428
525	8470	4412
526	8485	4395
527	8499	4378
528	8512	4360
529	8526	4343
530	8540	4326
531	8555	4310
532	8572	4294
533	8586	4277
534	8602	4261
535	8619	4245
536	8633	4228
537	8649	4212
538	8662	4194
539	8677	4178
540	8690	4160
541	8704	4143
542	8720	4127
543	8737	4111
544	8753	4095
545	8767	4078
546	8780	4061
547	8795	4044
548	8809	4027
549	8825	4011
550	8838	3994
551	8855	3978
552	8870	3962
553	8884	3945
554	8901	3929
555	8918	3913
556	8931	3896
557	8945	3879
558	8957	3861
559	8971	3845
560	8985	3828
561	9000	3811
562	9015	3794
563	9028	3777
564	9042	3760
565	9057	3744
566	9070	3727
567	9086	3711
568	9099	3694
569	9115	3678
570	9129	3661
571	9143	3644
572	9157	3628
